Pizzawala ,Pizzas,Dhanmondi,http://harriken.com/restaurants/pizzawala-dhanmondi-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/2018/01/2018011501014825828AUO8.jpg,0.0,8801938888077,"House 39/a, Road 8, Dhanmondi, Dhaka"
Bashmoti Kacchi ,"Biryani, Bangladeshi",Dhanmondi,http://harriken.com/restaurants/bashmoti-kacchi-jigatala-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/2017/04/2017042501044918885OOLI.jpg,4.4,,"1st Floor, 43/3/2 Munshi Bari Road, Near Gabtola Mosque, Jigatala, Dhaka 1209"
Mazeda Food Corner ,Quick Bites,Dhanmondi,http://harriken.com/restaurants/mazeda-food-corner-satmasjid-road-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/420x135.jpg,0.0,8801711122246,"Nijam Shankar Plaza, (Ground Floor), Satmasjid Road, Dhaka 1209"
Kabab Karigar & Soups ,"Kebabs, Soups",Dhanmondi,http://harriken.com/restaurants/kabab-karigar-soups-dhanmondi-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/420x135.jpg,0.0,,"Road 7/A, Dhanmondi Lake, Dhaka 1205"
Shumi's Hot Cake ,"Quick Bites, Cakes, Pastries",Dhanmondi,http://harriken.com/restaurants/shumis-hot-cake-jigatala-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/2017/12/2017120912125722802KJEE.jpg,4.0,,"Shop 104, Haque Mansion, 21/1 Jigatala, Satmasjid Road, Dhaka 1209"
Olympia Bakery ,Quick Bites,Dhanmondi,http://harriken.com/restaurants/olympia-bakery-satmasjid-road-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/2090_1_SNzX4Izk.jpg,5.0,88029102298,"748 Satmasjid Road, Dhanmondi, Dhaka 1209"
Jaipur Sweets ,"Mishti, Sweets",Dhanmondi,http://harriken.com/restaurants/jaipur-sweets-dhanmondi-27-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/420x135.jpg,0.0,,"House 15/B, Road 16 (New), Dhanmondi, Dhaka 1209"
Tangail Chomchom Sweets ,Mishti,Dhanmondi,http://harriken.com/restaurants/tangail-chomchom-sweets-dhanmondi-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/420x135.jpg,0.0,8801817600575,"Shop 101, Ground Floor, Dhanmondi Plaza, House 18, Road 6, Dhanmondi, Dhaka 1205"
Harvest Home ,Coffee,Dhanmondi,http://harriken.com/restaurants/harvest-home-shimanto-square-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/420x135.jpg,0.0,8801951352290,"2nd Floor, Shimanto Square, Dhanmondi, Dhaka 1205"
Bitter Sweet Cafe ,"Coffee, Cupcakes, Quick Bites",Dhanmondi,http://harriken.com/restaurants/bitter-sweet-cafe-dhanmondi-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/2017022605020713618N09U.jpg,4.4,,"House 32/1, Road 3, Dhanmondi, Dhaka 1205"
Nerdy Bean Coffee Haus ,"Coffee, Cupcakes, Sandwiches, Iced Drinks, Breakfast and Brunch",Dhanmondi,http://harriken.com/restaurants/nerdy-bean-coffee-haus-dhanmondi-2-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/2017/12/2017120610122422802KOGW.jpg,4.7,,"Ahmed and Kazi Tower (Lower Level), House 35, Road 2, Dhanmondi, Dhaka 1205"
FFC ,"Fried Chicken, Quick Bites",Dhanmondi,http://harriken.com/restaurants/ffc-dhanmondi-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/2587_1_OBkT7LjQ.jpg,0.0,,"Shop 110, Orchard Point, House 17, Road 7, Dhanmondi, Dhaka 1205"
Panshee ,Quick Bites,Dhanmondi,http://harriken.com/restaurants/panshee-dhanmondi-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/2017022707025613618UT6Z.jpg,4.3,8801552491954,"Road 10, Sector 5, Dhanmondi, Dhaka 1205"
Cafe Nirvan ,"Coffee, Iced Drinks, Quick Bites",Dhanmondi,http://harriken.com/restaurants/cafe-nirvan-dhanmondi-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/420x135.jpg,4.2,,"House 65, Road 8A, Dhanmondi, Dhaka 1209"
Yellow ,Chinese,Dhanmondi,http://harriken.com/restaurants/yellow-lalmatia-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/420x135.jpg,0.0,8801689642930,"5/8, Block D, Lalmatia, Dhaka 1207"
Shake n Melt ,Fresh Juices,Dhanmondi,http://harriken.com/restaurants/shake-n-melt-dhanmondi-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/2018/02/2018022203022225828UR1C.jpg,0.0,8801794559999,"House 36, Road 2, Dhanmondi, Dhaka 1209"
Ahaar Restaurant ,"Chinese, Indian, Thai",Dhanmondi,http://harriken.com/restaurants/ahaar-restaurant-satmasjid-road-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/420x135.jpg,0.0,,"Nizam's Shankar Plaza, 72 Satmasjid Road, Dhanmondi, Dhaka 1209"
Juice Bar & Fast Food ,"Quick Bites, Fresh Juices",Dhanmondi,http://harriken.com/restaurants/juice-bar-fast-food-dhanmondi-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/420x135.jpg,0.0,,"Shop 5, Road 7/A, Rabindra Sorobor, Dhanmondi Lake, Dhaka 1205"
Xindian Restaurant ,"Chinese, Thai",Dhanmondi,http://harriken.com/restaurants/xindian-restaurant-dhanmondi-27-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/420x135.jpg,0.0,,"House 55 (Old) 55/A (New), Road 27 (Old) 16 (New), Dhanmondi, Dhaka 1209"
HangOut ,"Buffet, Chinese, Quick Bites",Dhanmondi,http://harriken.com/restaurants/hangout-satmasjid-road-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/2018/01/20180105010101228029TK4.jpg,0.0,,"Rupayan ZR Plaza (11th Floor), House 746, Road 19, Satmasjid Road, Dhanmondi, Dhaka 1209"
Golden Spoon ,"Chinese, Thai",Dhanmondi,http://harriken.com/restaurants/golden-spoon-satmasjid-road-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/420x135.jpg,0.0,,"3D West Dhanmondi, Satmasjid Road, Dhaka 1209"
Dhaba ,"Biryani, Indian, Kebabs, Quick Bites",Dhanmondi,http://harriken.com/restaurants/dhaba-satmasjid-road-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/2018/06/2018060809062622802IMGK.jpg,4.1,,"House 54, Road 10/A, Satmasjid Road, Dhanmondi, Dhaka 1209"
